subj_id,probe_num,stim_type,state,vigil,resp_type,trl_time,IBI_3,IBI_2,IBI_1,IBI_0,IBI.1,IBI.2,IBI.3
1,1,F,1,1,F,169783.7020547,-1.56595201548841,-1.30811942467417,-1.30811942467417,-1.79513654065663,-1.59460008113444,-2.19620945970101,-1.99567300017882
1,2,F,1,1,C,169875.297757,0.0956357919811711,-0.649213914815538,-0.391381324001293,-0.248140995771156,-0.620565849169511,-0.505973586585402,-0.505973586585402
1,3,F,2,1,C,169950.6093627,1.09831808959213,0.410764514087471,-0.649213914815538,-0.706510046107593,-0.219492930125129,-0.018956470602938,-0.649213914815538
1,3,F,2,1,C,169957.3429715,-0.305437127063211,-0.0476045362489653,0.152931923273226,-0.362733258355266,0.983725827008017,1.15561422088418,NaN
1,4,F,2,1,C,170051.9137597,0.95507776136199,0.63994903925569,0.21022805456528,0.611300973609662,1.32750261476034,0.00969159504308925,0.324820317149389
1,4,F,2,1,C,170059.9308031,0.238876120211308,0.668597104901717,0.754541301839799,0.725893236193772,0.00969159504308925,NaN,NaN
1,6,F,1,1,C,170204.4204704,0.783189367485826,0.582652907963635,-0.305437127063211,-0.362733258355266,0.697245170547744,-0.42002938964732,-1.4513597529043
1,6,F,1,1,C,170211.6207702,0.439412579733499,-1.19352716209006,-0.992990702567866,-0.0762526018949926,1.12696615523815,NaN,NaN
1,7,F,2,1,C,170273.0234447,0.152931923273226,0.0669877263351438,-0.219492930125129,-0.706510046107593,0.0383396606891165,0.00969159504308925,-0.0476045362489653
1,7,F,2,1,C,170279.257049,0.21022805456528,-0.190844864479102,-0.591917783523484,-0.477325520939375,-0.591917783523484,NaN,NaN
1,8,F,1,1,C,170343.1265228,0.840485498777881,0.0669877263351438,0.00969159504308925,0.382116448441444,0.554004842317608,-0.42002938964732,-0.448677455293347
1,9,F,1,1,C,170434.363851,-0.649213914815538,-0.448677455293347,-0.42002938964732,-0.992990702567866,-0.677861980461566,-0.73515811175362,-0.219492930125129
1,10,F,2,1,C,170516.5924013,-0.362733258355266,0.410764514087471,0.238876120211308,0.410764514087471,0.897781630069935,0.95507776136199,-0.133548733187047
1,11,D,2,1,C,170643.2812991,0.63994903925569,-0.133548733187047,0.0383396606891165,1.3847987460524,1.12696615523815,0.525356776671581,1.01237389265404
1,12,D,1,1,F,170725.8098666,0.00969159504308925,0.725893236193772,0.496708711025553,-0.276789061417184,0.582652907963635,0.410764514087471,0.152931923273226
1,12,D,1,1,F,170730.1100348,0.410764514087471,0.152931923273226,0.124283857627198,0.554004842317608,1.35615068040637,0.296172251503362,-1.22217522773608
1,13,D,1,1,C,170801.0964647,0.754541301839799,0.668597104901717,-0.0476045362489653,0.238876120211308,0.897781630069935,-0.620565849169511,-0.907046505629784
1,14,D,2,1,C,170880.1832833,0.811837433131853,0.754541301839799,-0.133548733187047,-0.219492930125129,0.468060645379526,0.582652907963635,-0.534621652231429
1,16,D,2,1,C,171069.6249148,-1.05028683385992,-0.792454243045675,-0.591917783523484,-0.018956470602938,-0.305437127063211,0.21022805456528,0.496708711025553
1,17,D,2,1,F,171138.7862678,0.783189367485826,1.09831808959213,-0.018956470602938,0.840485498777881,1.01237389265404,0.181579988919253,-0.391381324001293
1,19,D,1,1,C,171298.1931646,0.0669877263351438,0.152931923273226,0.324820317149389,-0.448677455293347,1.12696615523815,1.81451973074281,0.554004842317608
1,20,D,2,1,C,171363.2543738,-0.190844864479102,-0.534621652231429,-0.591917783523484,-0.448677455293347,0.296172251503362,-0.649213914815538,-0.849750374337729
1,22,F,2,2,C,171542.3455551,-0.563269717877457,-0.792454243045675,-0.563269717877457,-0.219492930125129,0.353468382795417,-0.505973586585402,-0.706510046107593
1,23,F,2,2,C,171639.6664914,0.21022805456528,0.525356776671581,0.353468382795417,-0.534621652231429,-0.448677455293347,NaN,NaN
1,24,F,2,2,C,171699.7107973,-0.534621652231429,-0.849750374337729,-1.136231030798,-0.878398439983757,-0.448677455293347,-0.505973586585402,-1.05028683385992
1,24,F,2,2,F,171709.1278607,-0.534621652231429,-0.849750374337729,-1.136231030798,-0.878398439983757,-0.448677455293347,-0.505973586585402,-1.05028683385992
1,25,F,2,1,F,171782.3477234,-0.362733258355266,-0.305437127063211,-0.219492930125129,-0.219492930125129,-0.018956470602938,0.410764514087471,0.21022805456528
1,26,F,4,3,C,171864.1680253,0.811837433131853,0.353468382795417,-0.391381324001293,-0.591917783523484,-0.391381324001293,-0.620565849169511,-1.05028683385992
1,27,F,2,3,C,171962.8889486,1.44209487734445,2.21559264978719,2.53072137189349,1.44209487734445,2.27288878107925,NaN,NaN
1,28,F,2,3,C,172069.8853379,1.18426228653021,0.410764514087471,0.668597104901717,0.926429695715963,1.35615068040637,0.525356776671581,NaN
1,29,F,3,3,F,172167.2645774,0.754541301839799,1.18426228653021,0.840485498777881,1.61398327122062,1.3847987460524,NaN,NaN
1,30,F,2,3,C,172252.8183974,1.29885454911432,1.87181586203486,0.811837433131853,1.44209487734445,2.21559264978719,1.27020648346829,0.95507776136199
1,33,D,1,2,C,172569.41545,-1.16487909644403,-0.849750374337729,-1.36541555596622,-2.22485752534704,-2.51133818180731,-1.53730394984238,-0.792454243045675
1,34,D,2,2,C,172655.2442112,-0.018956470602938,0.00969159504308925,0.410764514087471,0.668597104901717,0.525356776671581,-0.563269717877457,-0.42002938964732
1,35,D,4,2,C,172743.3480963,-0.649213914815538,0.124283857627198,0.725893236193772,0.439412579733499,0.554004842317608,0.0956357919811711,0.267524185857335
